B25064_001E,NAME,state,county,fips
1202,"Delaware County, Ohio",39,041,39041
1156,"Warren County, Ohio",39,165,39165
1070,"Franklin County, Ohio",39,049,39049
1050,"Union County, Ohio",39,159,39159
966,"Butler County, Ohio",39,017,39017
963,"Fairfield County, Ohio",39,045,39045
958,"Medina County, Ohio",39,103,39103
952,"Lake County, Ohio",39,085,39085
938,"Greene County, Ohio",39,057,39057
921,"Portage County, Ohio",39,133,39133
912,"Clermont County, Ohio",39,025,39025
895,"Geauga County, Ohio",39,055,39055
894,"Licking County, Ohio",39,089,39089
882,"Summit County, Ohio",39,153,39153
875,"Cuyahoga County, Ohio",39,035,39035
875,"Hamilton County, Ohio",39,061,39061
870,"Madison County, Ohio",39,097,39097
851,"Morrow County, Ohio",39,117,39117
851,"Pickaway County, Ohio",39,129,39129
849,"Montgomery County, Ohio",39,113,39113
845,"Wood County, Ohio",39,173,39173
840,"Athens County, Ohio",39,009,39009
832,"Miami County, Ohio",39,109,39109
826,"Knox County, Ohio",39,083,39083
821,"Lorain County, Ohio",39,093,39093
814,"Erie County, Ohio",39,043,39043
803,"Lucas County, Ohio",39,095,39095
796,"Tuscarawas County, Ohio",39,157,39157
792,"Hancock County, Ohio",39,063,39063
787,"Shelby County, Ohio",39,149,39149
785,"Henry County, Ohio",39,069,39069
784,"Ross County, Ohio",39,141,39141
784,"Stark County, Ohio",39,151,39151
782,"Marion County, Ohio",39,101,39101
779,"Champaign County, Ohio",39,021,39021
774,"Clinton County, Ohio",39,027,39027
774,"Ottawa County, Ohio",39,123,39123
770,"Wayne County, Ohio",39,169,39169
768,"Fulton County, Ohio",39,051,39051
762,"Auglaize County, Ohio",39,011,39011
760,"Pike County, Ohio",39,131,39131
759,"Lawrence County, Ohio",39,087,39087
758,"Allen County, Ohio",39,003,39003
756,"Defiance County, Ohio",39,039,39039
755,"Clark County, Ohio",39,023,39023
754,"Putnam County, Ohio",39,137,39137
754,"Preble County, Ohio",39,135,39135
750,"Huron County, Ohio",39,077,39077
748,"Ashland County, Ohio",39,005,39005
742,"Brown County, Ohio",39,015,39015
740,"Seneca County, Ohio",39,147,39147
740,"Logan County, Ohio",39,091,39091
735,"Ashtabula County, Ohio",39,007,39007
731,"Guernsey County, Ohio",39,059,39059
729,"Fayette County, Ohio",39,047,39047
725,"Washington County, Ohio",39,167,39167
721,"Van Wert County, Ohio",39,161,39161
719,"Sandusky County, Ohio",39,143,39143
719,"Muskingum County, Ohio",39,119,39119
718,"Williams County, Ohio",39,171,39171
718,"Gallia County, Ohio",39,053,39053
715,"Carroll County, Ohio",39,019,39019
710,"Hardin County, Ohio",39,065,39065
707,"Trumbull County, Ohio",39,155,39155
706,"Mahoning County, Ohio",39,099,39099
704,"Paulding County, Ohio",39,125,39125
704,"Highland County, Ohio",39,071,39071
701,"Hocking County, Ohio",39,073,39073
700,"Holmes County, Ohio",39,075,39075
695,"Crawford County, Ohio",39,033,39033
694,"Richland County, Ohio",39,139,39139
694,"Belmont County, Ohio",39,013,39013
694,"Jefferson County, Ohio",39,081,39081
685,"Jackson County, Ohio",39,079,39079
682,"Wyandot County, Ohio",39,175,39175
682,"Darke County, Ohio",39,037,39037
679,"Mercer County, Ohio",39,107,39107
669,"Scioto County, Ohio",39,145,39145
664,"Columbiana County, Ohio",39,029,39029
654,"Perry County, Ohio",39,127,39127
652,"Noble County, Ohio",39,121,39121
646,"Vinton County, Ohio",39,163,39163
645,"Coshocton County, Ohio",39,031,39031
641,"Morgan County, Ohio",39,115,39115
639,"Meigs County, Ohio",39,105,39105
608,"Harrison County, Ohio",39,067,39067
593,"Adams County, Ohio",39,001,39001
584,"Monroe County, Ohio",39,111,39111
